Id,Ideology,Income,Interested,Looking,Name,Occupation,Party,Relationship,Religion,Birthday,Education,Ethnicity,Gender
cclamp,?,?,?,?,?,?,?,?,?,?,?,?,?
muontain-goat,?,?,?,?,?,?,?,?,?,?,?,?,?
JuicyWatermelon911911,?,?,?,?,?,?,?,?,?,?,?,?,?
sheilatume,?,?,?,?,?,?,?,?,?,?,?,?,?
samsam_oxo,?,?,?,?,?,?,?,?,?,?,?,?,?
aeterno,?,?,?,?,?,?,?,?,?,?,?,?,?
DJhegemony,Socialist,"Less than $25,000",in Women,?,?,Student,Democratic Socialists Party,In a Relationship,Buddhist,?,?,White,Male
TrotskyistRebel,Communist,Other,in Women,?,?,Labor,Communist Party,Single,Agnostic,?,High School,White,?
gbeatle30,?,?,?,?,?,?,?,?,?,?,?,?,?
MeliBet,?,?,?,?,?,?,?,?,?,?,?,?,?
corrinn8,?,?,?,?,?,?,?,?,?,?,?,?,Female
jmmc,?,?,?,?,?,?,?,?,?,?,?,?,?
Roadcruiser1,?,?,?,?,?,?,?,?,?,?,?,?,Male
UltimateSkeptic,Liberal,?,?,?,?,Military,Undecided,?,Atheist,?,Some College,Black,?
11ncoy,?,?,?,?,?,?,?,?,?,?,?,?,?
Hamilton,?,?,?,?,?,?,?,?,?,?,?,?,Male
forargumentssake123,?,?,?,?,?,?,?,?,?,?,?,?,?
Kokemin,?,?,?,?,?,?,?,?,?,?,?,?,?
nicomccart67,?,?,?,?,?,?,?,?,?,?,?,?,?
Views46ix,?,?,?,?,?,?,?,?,?,?,?,?,?
Tijmen,?,?,?,?,?,?,?,?,?,?,?,?,?
Conservative12,Conservative,?,in Women,?,?,Student,Republican Party,?,Christian - Catholic,1993,?,White,Male
xPooppaXLog,?,?,?,?,?,?,?,?,?,?,?,?,?
ShaunPigs,?,?,?,?,?,?,?,?,?,?,?,?,?
Sarkies6590,Conservative,?,in Men,"Dating, A Relationship",?,?,Republican Party,It's Complicated,Christian,?,High School,Middle Eastern,Female
Oshamoshamesha_Jones,?,?,?,?,?,?,?,?,?,?,?,?,?
Joey0685,?,?,?,?,?,?,?,?,?,?,?,?,?
jenkums,?,?,?,?,?,?,?,?,?,?,?,?,?
Dragonfire0522,?,?,?,?,?,?,?,?,?,?,?,?,Male
lizzywells96,?,?,?,?,?,?,?,?,?,?,?,?,?
RichardOfTheM,?,?,?,Friendship,?,?,?,?,?,?,?,?,?
Sarac626,?,?,?,?,?,?,?,?,?,?,?,?,?
tpope9914,?,?,?,?,?,?,?,?,?,?,?,?,?
ih8star,?,?,?,?,?,?,?,?,?,?,?,?,?
Dylbear,?,?,?,?,?,?,?,?,?,?,?,?,?
lcpopopo0,?,?,?,?,?,?,?,?,?,?,?,?,Female
gabriel.ungacta,?,?,?,?,?,?,?,?,?,?,?,?,?
questionall,?,?,?,?,?,?,?,?,?,?,?,?,?
deefender,?,?,?,?,?,?,?,?,?,?,?,?,?
Zeradthecow,?,?,?,?,?,?,?,?,?,?,?,?,?
Desertice,Progressive,Other,in Women,"Friendship, Networking",?,Student,?,Single,Hindu,?,Graduate Degree,Asian,Male
Whydoyouneedmyname,?,?,?,?,?,?,?,?,?,?,?,?,?
MrScriptX,?,?,?,?,?,?,?,?,?,?,?,?,?
rala34debatelover,?,?,?,?,?,?,?,?,?,?,?,?,?
SpencerWelch76,?,?,?,?,?,?,?,?,?,?,?,?,?
Mark428,?,?,?,?,?,?,?,?,?,?,?,?,?
JoshuaY9699,?,?,?,Friendship,?,?,American Independent Party,?,Christian - Presbytarian,?,High School,?,?
Anonymus97,?,?,?,?,?,?,?,?,?,?,?,?,?
judydavis,?,?,?,?,?,?,?,?,?,?,?,?,?
Grandbudda,Libertarian,?,in Women,Networking,?,Self-Employed,Republican Party,Married,Christian,?,Bachelors Degree,White,Male
oceanwill341,Liberal,?,?,?,?,Student,Independent,?,Christian,?,?,White,?
Rio89,?,?,?,?,?,?,?,?,?,?,?,?,?
Dazz,?,?,?,?,?,?,?,?,?,?,?,?,?
imthedebate,?,?,?,?,?,?,?,?,?,?,?,?,?
mcinator,?,?,?,?,?,?,?,?,?,?,?,?,?
Shagat19,?,?,?,?,?,?,?,?,?,?,?,?,Male
rob99,?,?,?,?,?,?,?,?,?,?,?,?,?
AngstChrist,Other,"$100,000 to $150,000",in Women,?,?,Other,Libertarian Party,Married,Atheist,?,?,White,?
Monster212,?,?,?,?,?,?,?,?,?,?,?,?,?
pratikshyam,?,?,?,?,?,?,?,?,?,?,?,?,Female
Prestigiously-Poor,?,?,?,?,?,?,?,?,?,?,?,?,Female
emleemay,Liberal,?,?,?,?,Student,Other,Single,Atheist,?,Bachelors Degree,White,Female
Numidious,Anarchist,?,?,?,?,?,Green Party,?,Atheist,?,?,?,Male
ronando,?,?,?,?,?,?,?,?,?,?,?,?,?
lewisdickson2001,?,?,?,?,?,?,?,?,?,?,?,?,?
agustin25,?,?,?,?,?,?,?,?,?,?,?,?,?
Draman78,?,?,?,?,?,?,?,?,?,?,?,?,?
sunny19,?,?,?,?,?,?,?,?,?,?,?,?,?
Zachsemperfi1997,?,?,?,?,?,?,?,?,?,?,?,?,?
tetra,?,?,?,?,?,?,?,?,?,?,?,?,Male
suthashok,?,?,?,?,?,?,?,?,?,?,?,?,?
jrschenck,?,?,?,?,?,Technical,?,Married,?,?,Bachelors Degree,White,?
anasheae,?,?,?,?,?,?,?,?,?,?,?,?,Female
Mharman,Conservative,?,in Women,Dating,?,Student,Republican Party,Single,Christian - Lutheran,?,High School,White,Male
PNK,?,?,?,?,?,?,?,?,?,?,?,?,?
causality2,?,?,?,?,?,?,?,?,?,?,?,?,?
2Sense,Undecided,?,?,?,?,Student,Undecided,?,?,?,Some College,Black,Female
MoonGazer,?,?,?,?,?,?,?,?,?,?,?,?,?
pooptula,?,?,?,?,?,?,?,?,?,?,?,?,?
britanee.smith,?,?,?,?,?,?,?,?,?,?,?,?,?
Terry868,Libertarian,?,?,?,?,Student,Libertarian Party,?,?,?,?,White,?
Criomorph,?,?,?,?,?,Student,?,Single,Atheist,?,?,White,Male
sumyungal,?,?,?,?,?,?,?,?,?,?,?,?,Female
Nohman,?,?,?,?,?,Student,?,?,?,?,?,?,?
Likaboss98,Conservative,Other,in Women,"Friendship, A Relationship",?,Student,Republican Party,Single,Christian - Baptist,?,High School,White,Male
dutta13,?,?,?,?,?,?,?,?,?,?,?,?,?
Whaddupnoob,Communist,?,?,?,?,?,Communist Party,?,?,?,?,?,?
stewatturner,?,?,?,?,?,?,?,?,?,?,?,?,?
chilisboy,?,?,?,?,?,?,?,?,?,?,?,?,?
sambo501,?,?,?,?,?,?,?,?,?,?,?,?,?
AsperACT,?,?,?,?, ,?,?,?,?,?,?,?,Male
bdunham2369,?,?,?,?,?,?,?,?,?,?,?,?,?
philochristos,Conservative,?,?,?,?,?,?,Single,Christian - Protestant,?,Bachelors Degree,?,?
AriDiallo,Moderate,"Less than $25,000",?,?,?,Student,Undecided,?,Muslim - Sunni,?,?,Black,Female
MILLADAL000,?,?,?,?,?,?,?,?,?,?,?,?,?
IanMcKAnderson,?,?,?,?,?,?,?,?,?,?,?,?,Male
clvrgrl,?,?,?,?,?,?,?,?,?,?,?,?,?
thetram,?,?,?,?,?,?,?,?,?,?,?,?,?
djakarta97,?,?,?,?,?,?,?,?,?,?,?,?,?
sean.stanish,?,?,?,?,?,?,?,?,?,?,?,?,?
TheAmericanPatriot,Conservative,?,?,?,?,?,?,?,?,?,?,?,?
Fieuline,?,?,?,?,?,?,?,?,?,?,?,?,?
APB,?,?,?,?,?,?,?,?,?,?,?,?,?
gumshoe,Conservative,?,?,?,Patrick Callahan,?,Independent,Single,Christian,?,High School,White,Male
JusBal,?,?,?,?,?,?,?,?,?,?,?,?,?
64bithuman,Other,"$35,000 to $50,000",?,?,?,Other,Other,?,Atheist,?,Bachelors Degree,White,Male
ElfLady80,Conservative,?,in Men,Friendship,?,?,Republican Party,Single,Christian,?,High School,White,Female
malus_pudor,?,?,?,?,?,?,?,?,?,?,?,?,Male
thetruthoflife101,?,?,?,?,?,?,?,?,?,?,?,?,?
mathew98,Socialist,?,?,?,?,Student,?,?,Christian,?,High School,Asian,?
nicoledevlin97,?,?,?,?,?,?,?,?,?,?,?,?,Female
neutronix13,?,?,?,?,?,?,?,?,?,?,?,?,Male
LpearlD,?,?,?,?,?,?,?,?,?,?,?,?,?
rmbluebird1,?,?,?,?,?,?,?,?,?,?,?,?,Female
TruthTrutherTruthiest,?,?,?,?,?,?,?,?,?,?,?,?,?
doomreaper101,?,?,?,?,?,?,?,?,?,?,?,?,?
ben671176,Other,?,in Women,A Relationship,Benjamin The Benjamite,Student,Other,Single,Other,?,High School,White,Male
dss,?,?,?,?,?,?,?,?,?,?,?,?,?
AnotherOpinion,?,?,?,?,?,?,?,?,?,?,?,?,Male
JohnDeere1953,?,?,?,?,?,?,?,?,?,?,?,?,?
Kunikoi,?,?,?,?,?,?,?,?,?,?,?,?,?
Leeway63,?,?,?,?,?,?,?,?,?,?,?,?,?
Bam988,?,?,?,?,?,?,?,?,?,?,?,?,?
kierstynh34,?,?,?,?,?,?,?,?,?,?,?,?,?
jonathon_stout,?,?,?,?,?,?,?,?,?,?,?,?,?
vegas18,?,?,?,?,?,?,?,?,?,?,?,?,?
leelu,?,?,?,?,?,?,?,?,?,?,?,?,?
jacknovotny,?,?,?,?,?,?,?,?,?,?,?,?,?
missbailey8,Liberal,?,in Men and Women,Friendship,Bailey Private,Student,Democratic Party,Engaged,Atheist,1998,Associates Degree,White,Female
Rach0705,?,?,?,?,?,?,?,?,?,?,?,?,?
HeatherC,Libertarian,?,in Men and Women,"Friendship, Networking",?,?,?,In a Relationship,Other,?,Some College,White,Female
barthakurm,?,?,?,?,?,?,?,?,?,?,?,?,?
Angry_Bird,?,?,?,?,?,?,?,?,?,?,?,?,Male
JP_Hatecraft,Liberal,?,?,?,?,?,Democratic Party,?,Agnostic,?,?,?,?
azking68,?,?,?,?,?,?,?,?,?,?,?,?,?
MLG_Pingu,Conservative,?,in Women,?,?,?,Republican Party,Single,Christian - Latter-Day Saints,?,?,?,Male
Alexanderrcm,?,?,?,?,?,?,?,?,?,?,?,?,?
Cabot_Bear,?,?,?,?,?,?,?,?,?,?,?,?,Male
NewCommunist,?,?,?,?,?,?,?,?,?,?,?,?,?
WarWorld,Other,Other,?,?,?,Other,Other,?,Atheist,?,?,Black,?
Easypickens13,?,?,?,?,?,?,?,?,?,?,?,?,Male
MajorGIJoe2077,?,?,?,?,?,?,?,?,?,?,?,?,?
youss,?,?,?,?,?,?,?,?,?,?,?,?,?
Wololo,?,?,?,?,?,?,?,?,?,?,?,?,?
WaynesWorld,Conservative,"$75,000 to $100,000",?,?,?,Technical,Independent,Married,Christian,?,Bachelors Degree,White,?
Ronlewisjohnson,?,?,?,?,?,?,?,?,?,?,?,?,?
CatsForBrains,?,?,?,?,?,?,?,?,?,?,?,?,?
hanziblack,Libertarian,?,?,?,?,?,Libertarian Party,?,Atheist,?,?,White,?
python32,?,?,?,?,?,?,?,?,?,?,?,?,Male
NachoSamurai,?,?,?,?,?,?,?,?,?,?,?,?,?
samirae,?,?,?,?,?,?,?,?,?,?,?,?,?
Agent080105,?,?,?,?,?,?,?,?,?,?,?,?,?
MassiveDump,Moderate,?,in Women,?,Massive H.W. Dump,Student,Independent,Single,Christian,?,?,White,?
backinthestacks,?,?,?,?,?,?,?,?,?,?,?,?,Female
SoraRoxas,Conservative,?,?,?,?,?,Independent,?,Christian - Baptist,?,?,White,?
Llaode,?,?,?,?,?,?,?,?,?,?,High School,?,?
helpingpeople22,?,?,?,?,?,?,?,?,?,?,?,?,?
imadebator8,?,?,?,?,?,?,?,?,?,?,?,?,?
paul_g,?,?,?,?,?,?,?,?,?,?,?,?,?
MasterABS,?,?,?,?,?,?,?,It's Complicated,Christian,?,?,White,?
DarkAngel827,?,?,?,?,?,?,?,?,?,?,?,?,?
CkellerMU,?,?,?,?,?,?,?,?,?,?,?,?,?
shalo,?,?,?,?,?,?,?,?,?,?,?,?,Male
SBDM,?,?,?,?,?,?,?,?,?,?,?,?,?
HITLERisALIVE420,?,?,?,?,?,?,?,?,?,?,?,?,?
TheMacDonald,?,?,?,?,?,?,?,?,?,?,?,?,?
riley8439,?,?,?,?,?,?,?,?,?,?,?,?,?
GrimmBrothers,?,?,?,?,?,?,?,?,?,?,?,?,Female
spiderek1,?,?,?,?,?,?,?,?,?,?,?,?,?
john.dough,?,?,?,?,?,?,?,?,?,?,?,?,Male
Spartatian,?,?,?,?,?,?,?,?,?,?,?,?,?
icedo10,?,?,?,?,?,?,?,?,?,?,?,?,?
Scorchtheblaze,Conservative,?,in Women,Friendship,?,Student,Republican Party,In a Relationship,Christian,?,?,White,Male
numberwang,Liberal,?,?,?,?,Student,Democratic Party,?,Atheist,?,Some College,White,Male
ProgressivePerson,Progressive,?,?,Networking,?,?,Undecided,?,Atheist,?,?,White,?
Newunusedname,?,?,?,?,?,?,?,?,?,?,?,?,?
nebnobla,?,?,?,?,?,?,?,?,?,?,?,?,?
aguywhohatenuclearstuff,?,?,?,?,?,?,?,?,?,?,?,?,?
tech,?,?,?,?,?,?,?,?,?,?,?,?,?
mistercomposer,?,?,?,?,?,?,?,?,?,?,?,?,Male
Crush2013,?,?,?,?,?,?,?,?,?,?,?,?,Male
89ms,?,?,?,?,?,?,?,?,?,?,?,?,?
Eliteninja,Liberal,?,in Men and Women,"Friendship, Networking",?,Student,Democratic Party,Single,?,?,?,Asian,?
Vox_Ex_Rationis,?,?,?,?,?,?,?,?,?,?,?,?,?
face1995,Socialist,?,in Women,Networking,?,?,Socialist Equality Party,Single,Christian - Latter-Day Saints,?,Some College,Latino,Male
Literswater,?,?,?,?,?,?,?,?,?,?,?,?,?
jakeeast82,?,?,?,?,?,?,?,?,?,?,?,?,?
MarkR,?,?,?,?,?,?,?,?,?,?,?,?,?
noahph,?,?,?,?,?,?,?,?,?,?,?,?,Male
commochief,?,?,?,?,?,?,?,?,?,?,?,?,?
21pope104408,?,?,?,?,?,?,?,?,?,?,?,?,?
Fenrirwolf,?,?,?,?,?,?,?,?,?,?,?,?,?
gmr2125,?,?,?,?,?,?,?,?,?,?,?,?,?
andymcstab,?,?,in Women,?,?,?,?,?,?,?,?,?,?
Falcon_Stormvoice,?,?,?,?,?,?,?,?,?,?,?,?,Male
Samosacookie,?,?,?,?,?,?,?,?,?,?,?,?,?
Gogert777,Conservative,Other,in Women,"Friendship, A Relationship",?,Medical,Republican Party,?,Agnostic,?,High School,White,Male
Warrious01,?,?,?,?,?,?,?,?,?,?,?,?,?
Rio,?,?,?,?,?,Executive,?,Single,?,?,Bachelors Degree,Asian,Female
TheMasterDebater2014,?,?,?,?,?,?,?,?,?,?,?,?,Male
ojashrawat,?,?,?,?,?,?,?,?,?,?,?,?,?
DATXDUDE,?,?,?,?,?,?,?,?,Deism,?,?,?,?
skillciaX,Moderate,?,in Men,"Friendship, Networking",?,Other,Undecided,Married,Christian,?,Some College,White,Female
MaxLAD,?,?,?,?,?,?,?,?,?,?,?,?,Male
hendroson,?,?,?,?,?,?,?,?,?,?,?,?,?
Cole.V,?,?,?,?,?,?,?,?,?,?,?,?,?
apettengill,?,?,?,?,?,?,?,?,?,?,?,?,?
viperimz,?,?,?,?,?,?,?,?,?,?,?,?,?
DaRealBoss,?,?,?,?,?,?,?,?,?,?,?,?,?
qwrafsdfasfdas,?,?,?,?,?,?,?,?,?,?,?,?,?
acantrell,?,?,?,?,?,?,?,?,Christian,?,?,White,?
Elesu,?,?,?,?,?,?,?,?,?,?,?,?,?
downwithlonghair,?,?,?,?,?,?,?,?,?,?,?,?,?
MisterNobody,Anarchist,"Less than $25,000",?,?,?,Labor,Undecided,Single,Atheist,?,High School,White,Male
jtinmoscow,Socialist,?,?,?,?,Student,?,?,Atheist,?,?,Asian,?
Titanium_Conservative1776,Conservative,?,?,?,?,Student,Republican Party,?,Christian - Catholic,?,High School,White,Male
PenguinOverlord,?,?,?,?,Brennan Private,?,?,?,?,?,?,?,Male
greatkitteh,Moderate,?,?,?,?,?,Undecided,?,Confucian,?,Other,Pacific Islander,Male
xxWesxx,?,?,?,?,?,?,?,?,?,?,?,?,?
Sjs497,?,?,?,?,?,?,?,?,?,?,?,?,?
anika123,?,?,?,?,?,?,?,?,?,?,?,?,?
fred70,?,?,?,?,?,?,?,?,?,?,?,?,?
Donovan-Jiovani,?,?,?,?,?,?,?,?,?,?,?,?,?
ZSinger,?,?,?,?,?,?,?,?,?,?,?,?,?
Nerox,Undecided,Other,?,Networking,Soraya Private,Student,Undecided,Single,Atheist,?,Some College,Other,Female
Peter499,?,?,?,?,?,?,?,?,Christian - Lutheran,?,?,White,?
MH16,?,?,?,?,?,?,?,?,?,?,?,?,?
brett.winstead,Libertarian,?,?,?,?,Sales,Other,Married,Agnostic,?,?,White,Male
jhs20381,?,?,?,?,?,?,?,?,Atheist,?,Graduate Degree,?,?
CrazyCowMan,?,?,in Women,?,?,Student,?,?,Atheist,?,?,Other,?
FMDebates,?,?,?,?,?,?,?,?,?,?,?,?,?
paintballman,?,?,?,?,?,?,?,?,?,?,?,?,?
LowestStone,Moderate,Other,?,?,?,Student,Reform Party,Single,Deism,2002,Other,White,Male
1313socialist,Libertarian,?,?,?,?,Student,American Populist Party,?,Agnostic,?,High School,White,?
klaralein,Other,?,?,"Friendship, Networking",?,Student,Independent,Single,Agnostic,?,?,White,Female
Chang29,Other,Other,in Women,?,?,?,Independent,?,Other,?,Other,Other,Male
peacepunk143,?,?,?,?,?,Other,?,?,Atheist,?,?,White,?
fru,?,?,?,?,?,Student,?,?,Atheist,?,?,White,?
miznoah,?,?,?,?,?,?,?,?,?,?,?,?,?
RagTagKing,?,?,?,?,?,?,?,?,?,?,?,?,?
yalaa,?,?,?,?,?,?,?,?,?,?,?,?,?
Douglesso,?,?,?,?,?,?,?,?,?,?,?,?,?
egrell18,?,?,?,?,?,?,?,?,?,?,?,?,?
Auren,?,?,?,?,?,?,?,?,?,?,?,?,?
KRTxBallistic,Moderate,?,in Women,?,?,Student,?,?,Atheist,?,High School,White,?
iwatchyousleep,?,?,?,?,?,?,?,?,?,?,?,?,?
Dulzie,?,?,?,?,?,?,?,?,?,?,?,?,?
beach7,?,?,?,?,?,?,?,?,?,?,?,?,?
darkmatter1802,?,?,?,?,?,?,?,?,?,?,?,?,?
republicanbro,?,?,?,?,?,?,?,?,?,?,?,?,Male
kennaj,?,?,in Men,?,?,?,?,Single,?,?,?,?,?
holly13,?,?,?,?,?,?,?,?,?,?,?,?,?
erikdavis,?,?,?,?,?,?,?,?,?,?,?,?,?
aliroo,?,?,?,?,?,?,?,?,?,?,?,?,?
American_Patriot2016,Conservative,?,in Women,?,?,Student,Tea Party Patriots,?,Christian - Catholic,?,High School,White,?
Alexish1994,?,?,in Men,?,?,?,?,?,?,?,High School,White,Female
losangelesnegros,?,?,?,?,?,?,?,?,?,?,?,?,?
jwright2014,?,?,?,?,?,?,?,?,?,?,?,?,?
gabrielmsa,?,?,?,?,?,?,?,?,?,?,?,?,Male
thatguy2366,?,?,?,?,?,?,?,?,?,?,?,?,?
varuninhoo,?,?,?,?,?,?,?,?,?,?,?,?,?
Jaykay,?,?,?,?,?,?,?,?,?,?,?,?,?
HoKiaJunn,?,?,?,?,?,?,?,?,?,?,?,?,?
FrustrationCrustacean,?,?,?,?,?,?,?,?,?,?,?,?,?
dutchrock,?,?,?,?,?,?,?,?,?,?,?,?,?
Yes_Man,Liberal,?,?,?,?,?,Democratic Party,?,Agnostic,?,?,White,Male
Jebby,?,?,?,?,?,?,?,?,?,?,?,?,?
KingsDominionFan,?,?,?,?,?,?,?,?,?,?,?,?,?
Novax34,Undecided,"Less than $25,000",in Men,"Friendship, Dating, A Relationship, Networking",?,Student,Independent,Single,Agnostic,?,High School,Other,?
froos4077,?,?,?,?,?,?,?,?,Christian - Catholic,?,?,White,?
PoisonIvy323,?,?,?,?,?,?,?,?,?,?,?,?,?
glassplotful,?,?,?,?,?,?,?,?,?,?,?,?,?
Thane,?,?,?,?,?,?,?,?,?,?,?,?,?
Irascible_Me,Conservative,?,?,"Friendship, Networking",?,?,?,?,Christian - Catholic,?,?,White,?
Ongnissim,?,?,?,?,?,?,?,?,?,?,?,?,Male
minervx,Other,?,?,?,?,?,?,Single,Agnostic,?,Some College,Other,Male
giraffelover,Conservative,"Less than $25,000",in Men and Women,Friendship,?,Other,Republican Party,Single,Christian - Protestant,?,High School,White,?
DRM,?,?,?,?,?,?,?,?,?,?,?,?,?
Matthew51,Conservative,?,?,?,?,Student,Republican Party,?,?,?,Other,?,?
cp509,?,?,?,?,?,?,?,?,?,?,?,?,?
Renesignoret12,?,?,?,?,?,?,?,?,?,?,?,?,?
JB774,?,?,?,?,?,?,?,?,?,?,?,?,?
niczeger12,?,?,?,?,?,?,?,?,?,?,?,?,?
Elliott711,?,?,?,?,?,?,?,?,?,?,?,?,?
wannabealawyer,Progressive,?,in Men,"Friendship, Networking",?,?,Independent,?,Christian,?,?,Black,?
JustinYB,?,?,?,?,?,?,?,?,?,?,?,?,?
sanit,?,?,?,?,?,?,?,?,?,?,?,?,?
Diego_is_the_man,?,?,in Women,Friendship,?,?,?,Single,?,?,?,?,Male
mrfolarin,?,?,?,?,?,?,?,?,?,?,?,?,?
macstryder,?,?,?,?,?,?,?,?,?,?,?,?,?
1234fdsaasdf,?,?,?,?,?,?,?,?,?,?,?,?,?
irishprepper,?,?,?,?,?,?,?,?,?,?,?,?,?
lindzylou,?,?,?,?,?,?,?,?,?,?,?,?,?
MasterLibertarian,Libertarian,"Less than $25,000",in Women,"Friendship, Dating, A Relationship, Networking",?,Student,Republican Party,Single,Christian - Catholic,?,High School,White,?
Dpowell,Conservative,?,in Women,Friendship,?,?,Republican Party,Single,Christian,1998,High School,White,Male
Troianii,?,?,?,?,?,?,?,?,?,?,?,?,?
Lauren_Lynn,?,?,?,?,?,?,?,?,?,?,?,?,?
Billuk62,?,?,?,?,?,?,?,?,?,?,?,?,Male
cantbebothered21,?,?,?,?,?,?,?,?,?,?,?,?,Male
Christlike,?,?,?,?,?,?,?,?,?,?,?,?,?
rrrrhoades,?,?,?,?,?,?,?,?,?,?,?,?,?
levi.beam,?,?,?,?,?,?,?,?,?,?,?,?,Male
m4j0rkus4n4g1,Undecided,"Less than $25,000",in Women,"Friendship, Networking",?,Student,Undecided,In a Relationship,Atheist,?,Bachelors Degree,White,Male
SilverMenace2,Moderate,?,?,?,?,?,?,?,?,?,?,?,Male
Jojoaver,?,?,?,?,?,?,?,?,?,?,?,?,?
Hairless_Khajitt,?,?,?,?,?,?,?,?,?,?,?,?,?
jimmy.boberg9,?,?,?,?,?,?,?,?,?,?,?,?,Male
MDenise,?,?,?,?,Melanie Cook,?,?,?,Christian,?,Associates Degree,Black,Female
dahszil,?,?,?,?,?,?,?,?,?,?,?,?,Male
staci005,?,?,?,?,?,?,?,?,?,?,?,?,?
gmx0,?,?,?,?,?,?,?,?,?,?,?,?,Male
Iacov,Moderate,"Less than $25,000",in Men and Women,"Friendship, Networking", Private,Student,Independent,Single,Pagan,1998,High School,White,Male
Latinking1,?,?,?,?,?,?,?,?,?,?,?,?,Male
Heathen5701,?,?,?,?,?,?,?,?,?,?,?,?,?
rhealeei,?,?,in Women,Friendship,?,?,?,In a Relationship,Christian,?,?,White,?
Publius1789,?,?,?,?,?,?,?,?,?,?,?,?,?
Jingle_Bombs,?,?,in Women,?,?,?,?,?,?,?,?,White,Male
JaRamos,?,?,?,?,?,?,?,?,?,?,?,?,?
jojag5,?,?,in Women,?,?,Student,?,?,Atheist,?,Bachelors Degree,White,Male
mumboissroff,?,?,?,?,?,?,?,?,?,?,?,?,?
RyuuKyuzo,?,?,?,?,?,?,?,?,?,?,?,?,?
Lemmingburgh,Socialist,?,?,?,?,?,?,?,Atheist,?,?,?,?
Imperator_Phil,?,?,?,?,?,?,?,?,?,?,?,?,?
DreamerBoat,?,"Less than $25,000",in Women,"Friendship, Dating, A Relationship, Networking", Private,Sales,Independent,Single,Christian,?,?,Other,?
SaraGoopAwesomeDebater,?,?,?,?,?,?,?,?,?,?,?,?,?
I_Am_American,?,?,?,?,?,?,?,?,?,?,?,?,?
RandomPersononInternet,?,?,?,?,?,?,?,?,?,?,?,?,?
lefty,?,?,?,?,?,?,?,?,?,?,?,?,?
meimeixuexue,?,?,?,?,?,?,?,?,?,?,?,?,?
Deuterium,?,?,?,?,?,?,?,?,?,?,?,?,?
kman17,?,?,?,?,?,?,?,?,?,?,?,?,?
meiliboo,?,?,?,?,?,?,?,?,?,?,?,?,?
KyleAvren,?,?,?,?,?,?,?,?,?,?,?,?,?
lewis20,Libertarian,?,?,?,?,?,Undecided,?,?,?,?,?,Male
Controversial,?,?,?,?,?,?,?,?,?,?,?,?,Male
utsav_sejpal,?,?,?,?,?,?,?,?,?,?,?,?,?
RandomObserver,?,?,in Women,?,?,Technical,?,Married,?,?,Bachelors Degree,White,Male
Targaryen,Conservative,?,in Women,?,?,Student,Independent,Single,Agnostic,?,?,White,Male
voiceing_empathy,?,?,?,?,?,?,?,?,?,?,?,?,?
Hematite12,Socialist,"$35,000 to $50,000",in Women,Dating,?,Student,Democratic Party,Single,Agnostic,?,High School,White,?
InvictusManeo,?,?,?,?,Jessica Private,?,?,?,?,?,?,White,Female
AthiraCeline,?,?,?,?,?,?,?,?,?,?,?,?,?
